 "id";"dmg";"name"                     ;"opacity";"strength";"spcg";"fluid";"movr";"solid";"wall";"lumcolor";"drop";"ddmg";"fall";"friction"
  "0";  "0";"TILE_AIR"                 ;   "1641";       "0";   "1";    "0";   "0";    "0";   "0";       "0";   "0";   "0";   "0";"16"
  "1";  "0";"TILE_STONE"               ;   "8205";      "25";"2400";    "0";   "0";    "1";   "1";       "0";   "1";   "0";   "0";"16"
  "1";  "1";"TILE_STONE_QUARRIED"      ;   "8205";      "25";"2400";    "0";   "0";    "1";   "1";       "0";   "1";   "1";   "0";"16"
  "2";  "0";"TILE_DIRT"                ;   "8205";       "6";"1400";    "0";   "0";    "1";   "1";       "0";   "2";   "0";   "0";"16"
  "2";  "1";"TILE_GRASS"               ;   "8205";       "6";"1400";    "0";   "0";    "1";   "1";       "0";   "2";   "1";   "0";"16"
  "3";  "0";"TILE_PLANK_NORMAL"        ;   "8205";      "12"; "740";    "0";   "0";    "1";   "1";       "0";   "3";   "0";   "0";"16"
  "3";  "1";"TILE_PLANK_EBONY"         ;   "8205";      "12";"1200";    "0";   "0";    "1";   "1";       "0";   "3";   "1";   "0";"16"
  "3";  "2";"TILE_PLANK_BIRCH"         ;   "8205";      "12"; "670";    "0";   "0";    "1";   "1";       "0";   "3";   "2";   "0";"16"
  "3";  "3";"TILE_PLANK_BLOODROSE"     ;   "8205";      "12"; "900";    "0";   "0";    "1";   "1";       "0";   "3";   "3";   "0";"16"
  "4";  "0";"TILE_TRUNK_NORMAL"        ;   "8205";      "12"; "740";    "0";   "0";    "1";   "0";       "0";   "3";   "0";   "0";"16"
  "4";  "1";"TILE_TRUNK_EBONY"         ;   "8205";      "12";"1200";    "0";   "0";    "1";   "0";       "0";   "3";   "1";   "0";"16"
  "4";  "2";"TILE_TRUNK_BIRCH"         ;   "8205";      "12"; "670";    "0";   "0";    "1";   "0";       "0";   "3";   "2";   "0";"16"
  "4";  "3";"TILE_TRUNK_BLOODROSE"     ;   "8205";      "12"; "900";    "0";   "0";    "1";   "0";       "0";   "3";   "3";   "0";"16"
  "5";  "0";"TILE_SAND"                ;   "8205";       "6";"2400";    "0";   "0";    "1";   "1";       "0";   "5";   "0";   "1";"16"
  "5";  "1";"TILE_SAND_WHITE"          ;   "8205";       "6";"2400";    "0";   "0";    "1";   "1";       "0";   "5";   "1";   "1";"16"
  "5";  "2";"TILE_SAND_RED"            ;   "8205";       "6";"2400";    "0";   "0";    "1";   "1";       "0";   "5";   "2";   "1";"16"
  "5";  "3";"TILE_SAND_DESERT"         ;   "8205";       "6";"2400";    "0";   "0";    "1";   "1";       "0";   "5";   "3";   "1";"16"
  "5";  "4";"TILE_SAND_BLACK"          ;   "8205";       "6";"2400";    "0";   "0";    "1";   "1";       "0";   "5";   "4";   "1";"16"
  "6";  "0";"TILE_GRAVEL"              ;   "8205";       "6";"2400";    "0";   "0";    "1";   "0";       "0";   "6";   "0";   "1";"16"
  "6";  "1";"TILE_GRAVEL_GREY"         ;   "8205";       "6";"2400";    "0";   "0";    "1";   "0";       "0";   "6";   "1";   "1";"16"
  "7";  "0";"TILE_ORE_MALACHITE"       ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "7";   "0";   "0";"16"
  "7";  "1";"TILE_ORE_HEMATITE"        ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "7";   "1";   "0";"16"
  "7";  "2";"TILE_ORE_NATURAL_GOLD"    ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "7";   "2";   "0";"16"
  "7";  "3";"TILE_ORE_NATURAL_SILVER"  ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "7";   "3";   "0";"16"
  "7";  "4";"TILE_ORE_RUTILE"          ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "7";   "4";   "0";"16"
  "7";  "5";"TILE_ORE_AURICHALCUMITE"  ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "7";   "5";   "0";"16"
  "8";  "0";"TILE_GEM_RUBY"            ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "8";   "0";   "0";"16"
  "8";  "1";"TILE_GEM_EMERALD"         ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "8";   "1";   "0";"16"
  "8";  "2";"TILE_GEM_SAPPHIRE"        ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "8";   "2";   "0";"16"
  "8";  "3";"TILE_GEM_TOPAZ"           ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "8";   "3";   "0";"16"
  "8";  "4";"TILE_GEM_DIAMOND"         ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "8";   "4";   "0";"16"
  "8";  "5";"TILE_GEM_AMETHYST"        ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "8";   "5";   "0";"16"
  "9";  "0";"TILE_SNOW"                ;   "8205";       "6"; "500";    "0";   "0";    "1";   "1";       "0";   "9";   "0";   "0";"16"
  "9";  "1";"TILE_ICE_FRAGILE"         ;   "3282";       "1"; "930";    "0";   "0";    "1";   "0";       "0";   "9";   "1";   "0";"16"
  "9";  "2";"TILE_ICE_NATURAL"         ;   "6564";      "25"; "930";    "0";   "0";    "1";   "1";       "0";   "9";   "2";   "0"; "8"
  "9";  "3";"TILE_ICE_CLEAR_MAGICAL"   ;   "8205";      "25";"3720";    "0";   "0";    "1";   "1";    "5009";   "9";   "3";   "0"; "8"
 "10";  "0";"TILE_PLATFORM_STONE"      ;   "1641";       "1"; "N/A";    "0";   "0";    "0";   "0";       "0";  "10";   "0";   "0";"16"
 "10";  "1";"TILE_PLATFORM_WOODEN"     ;   "1641";       "1"; "N/A";    "0";   "0";    "0";   "0";       "0";  "10";   "1";   "0";"16"
 "10";  "2";"TILE_PLATFORM_EBONY"      ;   "1641";       "1"; "N/A";    "0";   "0";    "0";   "0";       "0";  "10";   "2";   "0";"16"
 "10";  "3";"TILE_PLATFORM_BIRCH"      ;   "1641";       "1"; "N/A";    "0";   "0";    "0";   "0";       "0";  "10";   "3";   "0";"16"
 "10";  "4";"TILE_PLATFORM_BLOODROSE"  ;   "1641";       "1"; "N/A";    "0";   "0";    "0";   "0";       "0";  "10";   "4";   "0";"16"
 "11";  "0";"TILE_TORCH"               ;      "0";       "0"; "N/A";    "0";   "0";    "0";   "0";   "63412";  "11";   "0";   "0";"16"
 "11";  "1";"TILE_TORCH_FROST"         ;      "0";       "0"; "N/A";    "0";   "0";    "0";   "0";   "19999";  "11";   "1";   "0";"16"
 "12";  "0";"TILE_TORCH"               ;   "1641";       "0"; "N/A";    "0";   "0";    "0";   "0";       "0";  "11";   "0";   "0";"16"
 "12";  "1";"TILE_TORCH_FROST"         ;   "1641";       "0"; "N/A";    "0";   "0";    "0";   "0";       "0";  "11";   "1";   "0";"16"
 "13";  "0";"TILE_ILLUMINATOR_WHITE"   ;      "0";       "0"; "N/A";    "0";   "0";    "1";   "1";   "59076";  "13";   "0";   "0";"16"
 "13";  "1";"TILE_ILLUMINATOR_YELLOW"  ;      "0";       "0"; "N/A";    "0";   "0";    "1";   "1";   "59040";  "13";   "1";   "0";"16"
 "13";  "2";"TILE_ILLUMINATOR_ORANGE"  ;      "0";       "0"; "N/A";    "0";   "0";    "1";   "1";   "58720";  "13";   "2";   "0";"16"
 "13";  "3";"TILE_ILLUMINATOR_RED"     ;      "0";       "0"; "N/A";    "0";   "0";    "1";   "1";   "57600";  "13";   "3";   "0";"16"
 "13";  "4";"TILE_ILLUMINATOR_FUCHSIA" ;      "0";       "0"; "N/A";    "0";   "0";    "1";   "1";   "57628";  "13";   "4";   "0";"16"
 "13";  "5";"TILE_ILLUMINATOR_PURPLE"  ;      "0";       "0"; "N/A";    "0";   "0";    "1";   "1";   "44836";  "13";   "5";   "0";"16"
 "13";  "6";"TILE_ILLUMINATOR_BLUE"    ;      "0";       "0"; "N/A";    "0";   "0";    "1";   "1";      "36";  "13";   "6";   "0";"16"
 "13";  "7";"TILE_ILLUMINATOR_CYAN"    ;      "0";       "0"; "N/A";    "0";   "0";    "1";   "1";    "1276";  "13";   "7";   "0";"16"
 "13";  "8";"TILE_ILLUMINATOR_GREEN"   ;      "0";       "0"; "N/A";    "0";   "0";    "1";   "1";   "17240";  "13";   "8";   "0";"16"
 "13";  "9";"TILE_ILLUMINATOR_GREEN_DARK";    "0";       "0"; "N/A";    "0";   "0";    "1";   "1";    "8640";  "13";   "9";   "0";"16"
 "13"; "10";"TILE_ILLUMINATOR_BROWN"   ;      "0";       "0"; "N/A";    "0";   "0";    "1";   "1";   "21000";  "13";  "10";   "0";"16"
 "13"; "11";"TILE_ILLUMINATOR_TAN"     ;      "0";       "0"; "N/A";    "0";   "0";    "1";   "1";   "37448";  "13";  "11";   "0";"16"
 "13"; "12";"TILE_ILLUMINATOR_GREY_LIGHT";    "0";       "0"; "N/A";    "0";   "0";    "1";   "1";   "47589";  "13";  "12";   "0";"16"
 "13"; "13";"TILE_ILLUMINATOR_GREY_MED";      "0";       "0"; "N/A";    "0";   "0";    "1";   "1";   "29538";  "13";  "13";   "0";"16"
 "13"; "14";"TILE_ILLUMINATOR_GREY_DARK";     "0";       "0"; "N/A";    "0";   "0";    "1";   "1";   "16410";  "13";  "14";   "0";"16"
 "13"; "15";"TILE_ILLUMINATOR_BLACK"   ;      "0";       "0"; "N/A";    "0";   "0";    "1";   "1";    "4923";  "13";  "15";   "0";"16"
 "14";  "0";"TILE_SANDSTONE"           ;   "8205";      "25";"1900";    "0";   "0";    "1";   "1";       "0";  "14";   "0";   "0";"16"
 "14";  "1";"TILE_SANDSTONE_WHITE"     ;   "8205";      "25";"1900";    "0";   "0";    "1";   "1";       "0";  "14";   "1";   "0";"16"
 "14";  "2";"TILE_SANDSTONE_RED"       ;   "8205";      "25";"1900";    "0";   "0";    "1";   "1";       "0";  "14";   "2";   "0";"16"
 "14";  "3";"TILE_SANDSTONE_DESERT"    ;   "8205";      "25";"1900";    "0";   "0";    "1";   "1";       "0";  "14";   "3";   "0";"16"
 "14";  "4";"TILE_SANDSTONE_BLACK"     ;   "8205";      "25";"1900";    "0";   "0";    "1";   "1";       "0";  "14";   "4";   "0";"16"
"254";  "0";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "12";    "0";   "0";       "0"; "N/A"; "N/A";   "0";"16"
"254";  "1";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "12";    "0";   "0";       "0"; "N/A"; "N/A";   "0";"16"
"254";  "2";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "12";    "0";   "0";       "0"; "N/A"; "N/A";   "0";"16"
"254";  "3";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "12";    "0";   "0";       "0"; "N/A"; "N/A";   "0";"16"
"254";  "4";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "12";    "0";   "0";       "0"; "N/A"; "N/A";   "0";"16"
"254";  "5";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "12";    "0";   "0";       "0"; "N/A"; "N/A";   "0";"16"
"254";  "6";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "12";    "0";   "0";       "0"; "N/A"; "N/A";   "0";"16"
"254";  "7";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "12";    "0";   "0";       "0"; "N/A"; "N/A";   "0";"16"
"254";  "8";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "12";    "0";   "0";       "0"; "N/A"; "N/A";   "0";"16"
"254";  "9";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "12";    "0";   "0";       "0"; "N/A"; "N/A";   "0";"16"
"254"; "10";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "12";    "0";   "0";       "0"; "N/A"; "N/A";   "0";"16"
"254"; "11";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "12";    "0";   "0";       "0"; "N/A"; "N/A";   "0";"16"
"254"; "12";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "12";    "0";   "0";       "0"; "N/A"; "N/A";   "0";"16"
"254"; "13";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "12";    "0";   "0";       "0"; "N/A"; "N/A";   "0";"16"
"254"; "14";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "12";    "0";   "0";       "0"; "N/A"; "N/A";   "0";"16"
"254"; "15";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "12";    "0";   "0";       "0"; "N/A"; "N/A";   "0";"16"
"255";  "0";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320"; "N/A"; "N/A";   "0";"16"
"255";  "1";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320"; "N/A"; "N/A";   "0";"16"
"255";  "2";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320"; "N/A"; "N/A";   "0";"16"
"255";  "3";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320"; "N/A"; "N/A";   "0";"16"
"255";  "4";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320"; "N/A"; "N/A";   "0";"16"
"255";  "5";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320"; "N/A"; "N/A";   "0";"16"
"255";  "6";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320"; "N/A"; "N/A";   "0";"16"
"255";  "7";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320"; "N/A"; "N/A";   "0";"16"
"255";  "8";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320"; "N/A"; "N/A";   "0";"16"
"255";  "9";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320"; "N/A"; "N/A";   "0";"16"
"255"; "10";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320"; "N/A"; "N/A";   "0";"16"
"255"; "11";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320"; "N/A"; "N/A";   "0";"16"
"255"; "12";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320"; "N/A"; "N/A";   "0";"16"
"255"; "13";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320"; "N/A"; "N/A";   "0";"16"
"255"; "14";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320"; "N/A"; "N/A";   "0";"16"
"255"; "15";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320"; "N/A"; "N/A";   "0";"16"
# Friction: 0: frictionless, <16: slippery, 16: regular, >16: sticky
# Opacity/Lumcolor: 40-step RGB
# Solid: whether the tile has full collision
# movr: Movement resistance, (walkspeedmax) / (1 + (n/16)), 16 halves movement speed
# spcg: specific gravity, aka relative density. [g/l]

# Defalut torch should have a colour of 63412 (ffa44e) : real candlelight colour taken from properly configured camera.

# 16 colour palette : Old Apple Macintosh 16-colour palette

# Magical ice: theoretical __metallic__ ice that might form under super-high pressure (> 5 TPa). Its density is a wild guess.

#   References:
#     * Density of various woods : http://www.engineeringtoolbox.com/wood-density-d_40.html
#     * Density of various phases of ice : http://www1.lsbu.ac.uk/water/ice_phases.html