 "id";"dmg";"name"                     ;"opacity";"strength";"spcg";"fluid";"movr";"solid";"wall";"lumcolor";"opaque";"drop";"ddmg";"fall";"friction"
  "0";  "0";"TILE_AIR"                 ;   "1641";       "0";   "1";    "0";   "0";    "0";   "0";       "0";     "0";   "0";   "0";   "0";"16"
  "1";  "0";"TILE_STONE"               ;   "8205";      "25";"2400";    "0";   "0";    "1";   "1";       "0";     "1";   "1";   "0";   "0";"16"
  "1";  "1";"TILE_STONE_QUARRIED"      ;   "8205";      "25";"2400";    "0";   "0";    "1";   "1";       "0";     "1";   "1";   "1";   "0";"16"
  "2";  "0";"TILE_DIRT"                ;   "8205";       "6";"1400";    "0";   "0";    "1";   "1";       "0";     "1";   "2";   "0";   "0";"16"
  "2";  "1";"TILE_GRASS"               ;   "8205";       "6";"1400";    "0";   "0";    "1";   "1";       "0";     "1";   "2";   "1";   "0";"16"
  "3";  "0";"TILE_PLANK_NORMAL"        ;   "8205";      "12"; "740";    "0";   "0";    "1";   "1";       "0";     "1";   "3";   "0";   "0";"16"
  "3";  "1";"TILE_PLANK_EBONY"         ;   "8205";      "12";"1200";    "0";   "0";    "1";   "1";       "0";     "1";   "3";   "1";   "0";"16"
  "3";  "2";"TILE_PLANK_BIRCH"         ;   "8205";      "12"; "670";    "0";   "0";    "1";   "1";       "0";     "1";   "3";   "2";   "0";"16"
  "3";  "3";"TILE_PLANK_BLOODROSE"     ;   "8205";      "12"; "900";    "0";   "0";    "1";   "1";       "0";     "1";   "3";   "3";   "0";"16"
  "4";  "0";"TILE_TRUNK_NORMAL"        ;   "8205";      "12"; "740";    "0";   "0";    "1";   "0";       "0";     "1";   "3";   "0";   "0";"16"
  "4";  "1";"TILE_TRUNK_EBONY"         ;   "8205";      "12";"1200";    "0";   "0";    "1";   "0";       "0";     "1";   "3";   "1";   "0";"16"
  "4";  "2";"TILE_TRUNK_BIRCH"         ;   "8205";      "12"; "670";    "0";   "0";    "1";   "0";       "0";     "1";   "3";   "2";   "0";"16"
  "4";  "3";"TILE_TRUNK_BLOODROSE"     ;   "8205";      "12"; "900";    "0";   "0";    "1";   "0";       "0";     "1";   "3";   "3";   "0";"16"
  "5";  "0";"TILE_SAND"                ;   "8205";       "6";"2400";    "0";   "0";    "1";   "1";       "0";     "1";   "5";   "0";   "1";"16"
  "5";  "1";"TILE_SAND_WHITE"          ;   "8205";       "6";"2400";    "0";   "0";    "1";   "1";       "0";     "1";   "5";   "1";   "1";"16"
  "5";  "2";"TILE_SAND_RED"            ;   "8205";       "6";"2400";    "0";   "0";    "1";   "1";       "0";     "1";   "5";   "2";   "1";"16"
  "5";  "3";"TILE_SAND"                ;   "8205";       "6";"2400";    "0";   "0";    "1";   "1";       "0";     "1";   "5";   "3";   "1";"16"
  "5";  "4";"TILE_SAND_BLACK"          ;   "8205";       "6";"2400";    "0";   "0";    "1";   "1";       "0";     "1";   "5";   "4";   "1";"16"
  "6";  "0";"TILE_GRAVEL"              ;   "8205";       "6";"2400";    "0";   "0";    "1";   "0";       "0";     "1";   "6";   "0";   "1";"16"
  "6";  "1";"TILE_GRAVEL_GREY"         ;   "8205";       "6";"2400";    "0";   "0";    "1";   "0";       "0";     "1";   "6";   "1";   "1";"16"
  "7";  "0";"TILE_ORE_MALACHITE"       ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";     "1";   "7";   "0";   "0";"16"
  "7";  "1";"TILE_ORE_HEMATITE"        ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";     "1";   "7";   "1";   "0";"16"
  "7";  "2";"TILE_ORE_NATURAL_GOLD"    ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";     "1";   "7";   "2";   "0";"16"
  "7";  "3";"TILE_ORE_NATURAL_SILVER"  ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";     "1";   "7";   "3";   "0";"16"
  "7";  "4";"TILE_ORE_RUTILE"          ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";     "1";   "7";   "4";   "0";"16"
  "7";  "5";"TILE_ORE_AURICHALCUMITE"  ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";     "1";   "7";   "5";   "0";"16"
  "8";  "0";"TILE_GEM_RUBY"            ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";     "1";   "8";   "0";   "0";"16"
  "8";  "1";"TILE_GEM_EMERALD"         ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";     "1";   "8";   "1";   "0";"16"
  "8";  "2";"TILE_GEM_SAPPHIRE"        ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";     "1";   "8";   "2";   "0";"16"
  "8";  "3";"TILE_GEM_TOPAZ"           ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";     "1";   "8";   "3";   "0";"16"
  "8";  "4";"TILE_GEM_DIAMOND"         ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";     "1";   "8";   "4";   "0";"16"
  "8";  "5";"TILE_GEM_AMETHYST"        ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";     "1";   "8";   "5";   "0";"16"
  "9";  "0";"TILE_SNOW"                ;   "8205";       "6"; "500";    "0";   "0";    "1";   "1";       "0";     "1";   "9";   "0";   "0";"16"
  "9";  "1";"TILE_ICE_FRAGILE"         ;   "3282";       "1"; "930";    "0";   "0";    "1";   "0";       "0";     "0";   "9";   "1";   "0";"16"
  "9";  "2";"TILE_ICE_NATURAL"         ;   "6564";      "25"; "930";    "0";   "0";    "1";   "1";       "0";     "1";   "9";   "2";   "0"; "8"
  "9";  "3";"TILE_ICE_CLEAR_MAGICAL"   ;   "8205";      "25";"2785";    "0";   "0";    "1";   "1";    "5009";     "0";   "9";   "3";   "0"; "8"
 "10";  "0";"TILE_PLATFORM_STONE"      ;      "0";       "1"; "N/A";    "0";   "0";    "0";   "0";       "0";     "0";  "10";   "0";   "0";"16"
 "10";  "1";"TILE_PLATFORM_WOODEN"     ;      "0";       "1"; "N/A";    "0";   "0";    "0";   "0";       "0";     "0";  "10";   "1";   "0";"16"
 "10";  "2";"TILE_PLATFORM_EBONY"      ;      "0";       "1"; "N/A";    "0";   "0";    "0";   "0";       "0";     "0";  "10";   "2";   "0";"16"
 "10";  "3";"TILE_PLATFORM_BIRCH"      ;      "0";       "1"; "N/A";    "0";   "0";    "0";   "0";       "0";     "0";  "10";   "3";   "0";"16"
 "10";  "4";"TILE_PLATFORM_BLOODROSE"  ;      "0";       "1"; "N/A";    "0";   "0";    "0";   "0";       "0";     "0";  "10";   "4";   "0";"16"
 "11";  "0";"TILE_TORCH"               ;      "0";       "0"; "N/A";    "0";   "0";    "0";   "0";   "63412";     "0";  "11";   "0";   "0";"16"
"254"; "15";"TILE_WATER"               ;   "6522";     "100";"1000";    "1";  "16";    "0";   "0";       "0";     "0"; "N/A"; "N/A";   "0";"16"
"255"; "15";"TILE_LAVA"                ;  "62358";     "100";"2600";    "1";  "48";    "0";   "0";   "48320";     "0"; "N/A"; "N/A";   "0";"16"
# Friction: 0: frictionless, <16: slippery, 16: regular, >16: sticky
# Opacity/Lumcolor: 40-step RGB
# Opaque: whether the tile completely hides wall behind
# Solid: whether the tile has full collision
# movr: Movement resistance, (walkspeedmax) / (1 + (n/16)), 16 halves movement speed
# spcg: specific gravity, aka density. [g/l]
# Defalut torch should have a colour of 63412 (ffa44e) : real candlelight colour taken from properly configured camera.
# Assume magical ice as Ice-X.
#   References:
#     * Density of various woods : http://www.engineeringtoolbox.com/wood-density-d_40.html
#     * Density of various phases of ice : http://www1.lsbu.ac.uk/water/ice_phases.html